City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,atuona,-9.8,-139.0333,27.21,76,{'all': 59},6.58,PF,1680133060
1,paciran,-6.8767,112.3761,26.58,83,{'all': 100},3.55,ID,1680133062
2,mahibadhoo,3.7833,72.9667,27.29,76,{'all': 23},2.43,MV,1680133064
3,sao joao da barra,-21.6403,-41.0511,25.05,86,{'all': 64},3.37,BR,1680133067
4,talnakh,69.4865,88.3972,-27.61,100,{'all': 100},2.92,RU,1680133070
5,port elizabeth,-33.918,25.5701,16.16,69,{'all': 0},9.26,ZA,1680132982
6,busselton,-33.65,115.3333,17.06,69,{'all': 95},6.86,AU,1680132826
7,half moon bay,37.4636,-122.4286,11.68,85,{'all': 100},4.63,US,1680133075
8,tiksi,71.6872,128.8694,-26.32,98,{'all': 74},2.12,RU,1680133139
9,werda,-25.2667,23.2833,21.97,39,{'all': 43},4.41,BW,1680133140
10,sao paulo de olivenca,-3.3783,-68.8725,23.07,97,{'all': 62},0.63,BR,1680133142
11,avarua,-21.2078,-159.775,28.03,83,{'all': 75},3.6,CK,1680133146
12,abha,18.2164,42.5053,15.14,82,{'all': 0},3.09,SA,1680133105
13,torbay,47.6666,-52.7314,-0.24,93,{'all': 100},6.69,CA,1680133153
14,hithadhoo,-0.6,73.0833,27.65,76,{'all': 20},3.18,MV,1680133154
15,port alfred,-33.5906,26.891,13.99,75,{'all': 92},1.34,ZA,1680133157
16,barybino,55.2677,37.8933,6.14,93,{'all': 100},3.0,RU,1680133159
17,oxford,51.7522,-1.256,12.25,91,{'all': 100},6.69,GB,1680133056
18,xifeng,42.7372,124.7222,11.66,45,{'all': 87},3.04,CN,1680133161
19,albany,42.6001,-73.9662,10.36,36,{'all': 98},4.13,US,1680133136
20,mahebourg,-20.4081,57.7,27.16,83,{'all': 75},4.63,MU,1680133164
21,punta arenas,-53.15,-70.9167,4.06,56,{'all': 40},3.09,CL,1680133165
22,rikitea,-23.1203,-134.9692,26.7,75,{'all': 65},3.29,PF,1680133167
23,alingsas,57.9303,12.5335,-0.24,96,{'all': 95},3.09,SE,1680133168
24,vaini,-21.2,-175.2,30.09,79,{'all': 40},2.57,TO,1680133169
25,hilo,19.7297,-155.09,28.49,78,{'all': 100},4.47,US,1680133171
26,shaoguan,24.8,113.5833,15.99,92,{'all': 100},0.54,CN,1680133172
27,carnarvon,-24.8667,113.6333,23.97,77,{'all': 100},1.48,AU,1680133174
28,sola,-13.8833,167.55,27.08,76,{'all': 30},1.64,VU,1680133175
29,puri,19.8,85.85,26.29,85,{'all': 7},7.1,IN,1680133013
30,nenjiang,49.1833,125.2167,4.38,44,{'all': 4},3.46,CN,1680133178
31,sitka,57.0531,-135.33,6.94,61,{'all': 0},9.26,US,1680133179
32,tuktoyaktuk,69.4541,-133.0374,-16.0,78,{'all': 0},1.54,CA,1680133180
